order_details_id,order_id,pizza_id,quantity
1,100001,hawaiian_m,2
2,100002,classic_dlx_m,2
3,100002,five_cheese_l,1
4,100002,ital_supr_l,1
5,100002,mexicana_m,2
6,100002,thai_ckn_l,1
7,100003,ital_supr_m,1
8,100003,prsc_argla_l,1
9,100004,ital_supr_m,2
10,100005,ital_supr_m,1
11,100006,bbq_ckn_s,2
12,100006,the_greek_s,1
13,100007,spinach_supr_s,2
14,100008,spinach_supr_s,1
15,100009,classic_dlx_s,1
16,100009,green_garden_s,2
17,100009,ital_cpcllo_l,2
18,100009,ital_supr_l,1
19,100009,ital_supr_s,1
20,100009,mexicana_s,1
21,100009,spicy_ital_l,2
22,100009,spin_pesto_l,1
23,100009,veggie_veg_s,1
24,100010,mexicana_l,1
25,100010,southw_ckn_l,2
26,100011,bbq_ckn_l,1
27,100011,cali_ckn_l,1
28,100011,cali_ckn_m,1
29,100011,pepperoni_l,1
30,100012,cali_ckn_l,2
31,100012,cali_ckn_s,2
32,100012,ckn_pesto_l,2
33,100012,ital_supr_m,1
34,100013,mexicana_l,1
35,100014,the_greek_s,1
36,100015,big_meat_s,1
37,100015,five_cheese_l,1
38,100015,soppressata_l,2
39,100015,the_greek_s,1
40,100016,four_cheese_l,1
41,100016,napolitana_s,2
42,100016,thai_ckn_l,1
43,100017,bbq_ckn_l,1
44,100017,calabrese_m,2
45,100017,five_cheese_l,1
46,100017,four_cheese_m,1
47,100017,ital_supr_m,2
48,100017,ital_veggie_s,1
49,100017,mediterraneo_m,2
50,100017,mexicana_l,2
51,100017,peppr_salami_s,1
52,100017,spinach_fet_l,1
53,100018,napolitana_l,2
54,100019,ital_cpcllo_l,1
55,100019,sicilian_l,1
56,100020,big_meat_s,1
57,100020,five_cheese_l,2
58,100021,ital_cpcllo_l,2
59,100022,five_cheese_l,2
60,100022,ital_cpcllo_m,1
61,100022,southw_ckn_l,2
62,100023,southw_ckn_s,1
63,100024,bbq_ckn_m,1
64,100024,ital_cpcllo_m,1
65,100024,pepperoni_m,1
66,100024,prsc_argla_s,1
67,100025,sicilian_m,1
68,100025,thai_ckn_l,1
69,100026,classic_dlx_s,1
70,100026,veggie_veg_l,2
71,100027,bbq_ckn_l,1
72,100027,classic_dlx_m,1
73,100027,spinach_fet_l,1
74,100028,ckn_alfredo_s,2
75,100029,green_garden_s,2
76,100030,thai_ckn_l,1
77,100031,mexicana_m,2
78,100031,pepperoni_s,1
79,100032,big_meat_s,2
80,100032,green_garden_l,1
81,100032,ital_cpcllo_l,2
82,100032,ital_supr_m,2
83,100033,bbq_ckn_l,1
84,100033,green_garden_s,2
85,100034,the_greek_s,1
86,100035,green_garden_m,1
87,100035,pep_msh_pep_l,2
88,100035,pepperoni_m,1
89,100035,thai_ckn_l,1
90,100036,bbq_ckn_m,1
91,100036,classic_dlx_m,1
92,100037,ital_supr_l,2
93,100037,mexicana_l,1
94,100038,hawaiian_s,1
95,100038,ital_cpcllo_l,1
96,100039,ital_supr_l,1
97,100040,four_cheese_l,1
98,100040,southw_ckn_s,2
99,100041,four_cheese_m,2
100,100041,green_garden_s,1
101,100042,big_meat_s,1
102,100042,five_cheese_l,1
103,100042,mexicana_l,1
104,100042,peppr_salami_m,1
105,100043,ckn_alfredo_m,1
106,100043,ital_supr_m,1
107,100043,peppr_salami_l,1
108,100044,spin_pesto_s,1
109,100045,four_cheese_l,1
110,100045,hawaiian_s,1
111,100045,thai_ckn_m,1
112,100046,ckn_pesto_l,2
113,100046,classic_dlx_l,2
114,100046,thai_ckn_m,1
115,100047,southw_ckn_l,2
116,100047,veggie_veg_s,1
117,100048,ckn_pesto_m,1
118,100048,green_garden_s,2
119,100048,prsc_argla_l,2
120,100048,spicy_ital_l,1
121,100049,sicilian_l,2
122,100050,the_greek_xl,1
123,100051,bbq_ckn_l,1
124,100051,pep_msh_pep_l,2
125,100052,hawaiian_l,1
126,100052,mexicana_l,1
127,100052,spicy_ital_l,1
128,100053,pep_msh_pep_s,2
129,100053,spinach_supr_m,2
130,100054,prsc_argla_m,2
131,100054,thai_ckn_l,2
132,100055,peppr_salami_s,2
133,100055,spicy_ital_l,1
134,100056,classic_dlx_m,1
135,100056,mediterraneo_l,1
136,100056,southw_ckn_m,1
137,100057,classic_dlx_m,1
138,100058,five_cheese_l,1
139,100058,pepperoni_m,1
140,100059,ital_veggie_s,2
141,100059,pep_msh_pep_s,1
142,100059,pepperoni_l,1
143,100060,ckn_pesto_l,2
144,100060,four_cheese_m,1
145,100061,bbq_ckn_m,2
146,100061,ital_supr_l,1
147,100062,bbq_ckn_m,1
148,100062,spinach_supr_m,1
149,100063,pep_msh_pep_m,1
150,100064,big_meat_s,1
151,100065,pep_msh_pep_s,2
152,100065,sicilian_s,1
153,100065,spicy_ital_s,2
154,100065,spinach_supr_m,2
155,100066,classic_dlx_m,2
156,100066,ital_cpcllo_m,1
157,100067,southw_ckn_l,2
158,100068,classic_dlx_m,2
159,100068,ital_supr_l,2
160,100068,ital_supr_m,1
161,100069,bbq_ckn_l,2
162,100070,ital_veggie_s,2
163,100070,soppressata_l,1
164,100071,thai_ckn_l,1
165,100072,spinach_fet_l,1
166,100073,thai_ckn_s,1
167,100074,five_cheese_l,1
168,100074,mexicana_l,1
169,100074,spin_pesto_s,1
170,100074,spinach_supr_l,2
171,100075,ital_supr_s,2
172,100075,mediterraneo_l,1
173,100075,napolitana_l,1
174,100076,big_meat_s,2
175,100076,hawaiian_l,1
176,100076,ital_veggie_l,1
177,100076,spicy_ital_l,1
178,100077,bbq_ckn_m,1
179,100077,hawaiian_m,1
180,100078,big_meat_s,1
181,100078,classic_dlx_s,2
